Date,At&t,Xom,BA,Wmt,Wix
9/1/2016,40.959999,86.839996,129.899994,72.839996,41.880001
9/2/2016,40.950001,87.419998,131.160004,72.5,42.349998
9/6/2016,41.23,88.57,132.990005,73,43.259998
9/7/2016,41.27,88.239998,132.639999,72.059998,44.439999
9/8/2016,41.189999,89.050003,132.899994,71.830002,43.580002
9/9/2016,39.709999,86.839996,128.529999,70.300003,42.18
9/12/2016,40.709999,87.290001,130.119995,71.940002,42.349998
9/13/2016,39.970001,85.209999,128.759995,71.459999,41.869999
9/14/2016,39.889999,84.599998,127.669998,71.519997,43.25
9/15/2016,40.450001,85.080002,127.769997,72.400002,43.240002
9/16/2016,40.200001,84.029999,126.699997,72.870003,44.220001
9/19/2016,40.060001,83.830002,127.480003,72.089996,44.630001
9/20/2016,39.959999,82.540001,127.790001,71.970001,45.439999
9/21/2016,40.57,83.300003,130.559998,72.190002,44.400002
9/22/2016,41.110001,83.540001,131.869995,72.269997,45.290001
9/23/2016,41.279999,83.449997,131.779999,72.349998,43.279999
9/26/2016,41.139999,83.059998,130.570007,71.620003,43.689999
9/27/2016,41.459999,83.239998,131.320007,72.330002,44.080002
9/28/2016,40.849998,86.900002,132.229996,71.790001,44.099998
9/29/2016,40.73,86.459999,131.029999,70.730003,43.98
9/30/2016,40.610001,87.279999,131.740005,72.120003,43.43
10/3/2016,40.77,87.050003,132.380005,72.010002,43.09
10/4/2016,39.900002,86.25,132.25,71.75,43.98
10/5/2016,39.16,87,134.660004,71.669998,43.84
10/6/2016,39.110001,87.040001,134.419998,69.360001,43.580002
10/7/2016,38.869999,86.739998,133.850006,68.699997,43.130001
10/10/2016,39.009998,88.440002,135.839996,67.980003,43.900002
10/11/2016,39.099998,87.739998,133.740005,67.389999,43.950001
10/12/2016,39.330002,87.129997,133.160004,67.459999,44
10/13/2016,39.369999,86.559998,133.380005,68.230003,43.599998
10/14/2016,39.220001,86.540001,133.5,68.449997,43.75
10/17/2016,39.27,86.540001,134,68.220001,43.900002
10/18/2016,39.360001,86.769997,135.100006,68.870003,44.200001
10/19/2016,39.380001,87.169998,136.179993,68.889999,46.400002
10/20/2016,38.650002,87.209999,135.839996,68.730003,44.799999
10/21/2016,37.490002,86.620003,135.630005,68.339996,44.849998
10/24/2016,36.860001,86.910004,137.449997,69.190002,45.700001
10/25/2016,36.700001,86.720001,139.020004,69.360001,44.400002
10/26/2016,36.43,87.089996,145.539993,69.589996,42.700001
10/27/2016,36.52,86.919998,143.309998,69.830002,41.299999
10/28/2016,36.509998,84.779999,143.009995,69.989998,41.200001
10/31/2016,36.790001,83.32,142.429993,70.019997,40
11/1/2016,36.560001,83.650002,142.410004,69.300003,41
11/2/2016,36.369999,83.449997,140.75,69.449997,39.049999
11/3/2016,36.630001,83.660004,140.020004,69.629997,39
11/4/2016,36.5,83.57,139.539993,69.160004,39.049999
11/7/2016,36.810001,85.449997,143.029999,69.779999,40.200001
11/8/2016,36.990002,85.309998,142.199997,69.790001,40.799999
11/9/2016,37.439999,86.25,145.089996,71.099998,42.599998
11/10/2016,36.57,87.050003,147.690002,71.389999,47.849998
11/11/2016,36.509998,85.669998,148.520004,71.230003,49.450001
11/14/2016,36.130001,85.279999,149.990005,70.489998,46.75
11/15/2016,36.77,86.82,148.110001,71.419998,46.099998
11/16/2016,37.150002,85.75,146.440002,71.389999,47.150002
11/17/2016,37.41,85.230003,145.330002,69.190002,48.650002
11/18/2016,37.560001,85.279999,146.350006,68.540001,51.400002
11/21/2016,37.740002,86.489998,147.020004,69.370003,50.950001
11/22/2016,38.549999,86.68,149.520004,70.120003,51.450001
11/23/2016,38.73,86.919998,149.740005,70.830002,52.099998
11/25/2016,39.209999,87.120003,150.039993,71.230003,51.549999
11/28/2016,39.540001,86.470001,149.770004,71.190002,51.049999
11/29/2016,39.48,85.900002,151.639999,71.370003,51.049999
11/30/2016,38.630001,87.300003,150.559998,70.43,49.5
12/1/2016,38.880001,87.239998,152.389999,70.669998,47.5
12/2/2016,38.610001,87.040001,152.25,70.879997,46.400002
